State,Minimum WBA,Maximum WBA,Year
WA,$143 ,$604 ,2013
WI,$54 ,$363 ,2013
WV,$24 ,$424 ,2013
WY,$33 ,$459 ,2013
AK,$56 ,$370 ,2014
AL,$45 ,$265 ,2014
AR,$81 ,$451 ,2014
AZ,$123 ,$240 ,2014
CA,$40 ,$450 ,2014
CO,$25 ,$481 ,2014
CT,$15 ,$590 ,2014
DC,$50 ,$359 ,2014
DE,$20 ,$330 ,2014
FL,$32 ,$275 ,2014
GA,$44 ,$330 ,2014
HI,$5 ,$544 ,2014
IA,$60 ,$408 ,2014
ID,$72 ,$383 ,2014
IL,$51 ,$418 ,2014
IN,$37 ,$390 ,2014
KS,$117 ,$469 ,2014
KY,$39 ,$415 ,2014
LA,$10 ,$247 ,2014
MA,$33 ,$679 ,2014
MD,$50 ,$430 ,2014
ME,$66 ,$378 ,2014
MI,$117 ,$362 ,2014
MN,$25 ,$405 ,2014
MO,$35 ,$320 ,2014
MS,$30 ,$235 ,2014
MT,$132 ,$464 ,2014
NC,$15 ,$350 ,2014
ND,$43 ,$570 ,2014
NE,$70 ,$372 ,2014
NH,$32 ,$427 ,2014
NJ,$87 ,$636 ,2014
NM,$75 ,$406 ,2014
NV,$16 ,$407 ,2014
NY,$68 ,$405 ,2014
OH,$116 ,$418 ,2014
OK,$16 ,$440 ,2014
OR,$126 ,$538 ,2014
PA,$70 ,$573 ,2014
PR,$7 ,$133 ,2014
RI,$44 ,$566 ,2014
SC,$42 ,$326 ,2014
SD,$28 ,$345 ,2014
TN,$30 ,$275 ,2014
TX,$63 ,$454 ,2014
UT,$26 ,$487 ,2014
VA,$54 ,$378 ,2014
VI,$33 ,$468 ,2014
VT,$58 ,$425 ,2014
WA,$148 ,$624 ,2014
WI,$54 ,$370 ,2014
WV,$24 ,$424 ,2014
WY,$34 ,$471 ,2014
AK,$56 ,$370 ,2015
AL,$45 ,$265 ,2015
AR,$81 ,$451 ,2015
AZ,$126 ,$240 ,2015
CA,$40 ,$450 ,2015
CO,$25 ,$484 ,2015
CT,$15 ,$594 ,2015
DC,$50 ,$359 ,2015
DE,$20 ,$330 ,2015
FL,$32 ,$275 ,2015
GA,$44 ,$330 ,2015
HI,$5 ,$551 ,2015
IA,$62 ,$416 ,2015
ID,$72 ,$398 ,2015
IL,$51 ,$426 ,2015
IN,$37 ,$390 ,2015
KS,$118 ,$474 ,2015
KY,$39 ,$415 ,2015
LA,$10 ,$247 ,2015
MA,$33 ,$698 ,2015
MD,$50 ,$430 ,2015
ME,$67 ,$386 ,2015
MI,$117 ,$362 ,2015
MN,$25 ,$412 ,2015
MO,$35 ,$320 ,2015
MS,$30 ,$235 ,2015
MT,$134 ,$471 ,2015
NC,$15 ,$350 ,2015
ND,$43 ,$594 ,2015
NE,$70 ,$380 ,2015
NH,$32 ,$427 ,2015
NJ,$99 ,$646 ,2015
NM,$77 ,$412 ,2015
NV,$16 ,$412 ,2015
NY,$100 ,$420 ,2015
OH,$118 ,$424 ,2015
OK,$16 ,$490 ,2015
OR,$128 ,$549 ,2015
PA,$70 ,$573 ,2015
PR,$7 ,$133 ,2015
RI,$46 ,$566 ,2015
SC,$42 ,$326 ,2015
SD,$28 ,$352 ,2015
TN,$30 ,$275 ,2015
TX,$64 ,$465 ,2015
UT,$26 ,$496 ,2015
VA,$60 ,$378 ,2015
VI,$33 ,$477 ,2015
VT,$73 ,$436 ,2015
WA,$151 ,$637 ,2015
WI,$54 ,$370 ,2015
WV,$24 ,$424 ,2015
WY,$34 ,$475 ,2015
AK,$56 ,$370 ,2016
AL,$45 ,$265 ,2016
AR,$81 ,$451 ,2016
AZ,$126 ,$240 ,2016
CA,$40 ,$450 ,2016
CO,$25 ,$502 ,2016
CT,$15 ,$598 ,2016
DC,$50 ,$359 ,2016
DE,$20 ,$330 ,2016
FL,$32 ,$275 ,2016
GA,$44 ,$330 ,2016
HI,$5 ,$569 ,2016
IA,$64 ,$431 ,2016
ID,$72 ,$410 ,2016
IL,$51 ,$437 ,2016
IN,$37 ,$390 ,2016
KS,$118 ,$474 ,2016
KY,$39 ,$415 ,2016
LA,$10 ,$247 ,2016
MA,$37 ,$722 ,2016
MD,$50 ,$430 ,2016
ME,$69 ,$397 ,2016
MI,$117 ,$362 ,2016
MN,$26 ,$424 ,2016
MO,$35 ,$320 ,2016
MS,$30 ,$235 ,2016
